,Pair Mass,Muon 1 Energy,Muon 2 Energy,Muon 1 pT,Muon 2 pT,Muon 1 Eta,Muon 2 Eta,Muon 1 Phi,Muon 2 Phi,Muon 1 Rapidity,Muon 2 Rapidity
100081,6.44194,5.81551,12.7687,3.09264,2.55731,1.2448,2.29097,0.0879482,3.02734,1.24431,2.29014
100082,0.861688,17.2189,8.23452,17.0093,8.18777,0.15669,0.106035,-0.503725,-0.453222,0.156687,0.106027
100083,5.001,17.2189,6.61641,17.0093,5.71167,0.15669,0.555422,-0.503725,-0.816965,0.156687,0.555336
100084,22.9513,17.2189,20.269,17.0093,4.07838,0.15669,2.28625,-0.503725,0.624478,0.156687,2.28592
100085,3.96989,8.23452,6.61641,8.18777,5.71167,0.106035,0.555422,-0.453222,-0.816965,0.106027,0.555336
100086,13.7574,8.23452,20.269,8.18777,4.07838,0.106035,2.28625,-0.453222,0.624478,0.106027,2.28592
100087,10.9212,6.61641,20.269,5.71167,4.07838,0.555422,2.28625,-0.816965,0.624478,0.555336,2.28592
100088,9.50113,6.92774,11.8535,6.50804,6.31724,0.356894,1.24239,2.75851,-2.28644,0.356849,1.24228
100089,1.51462,6.92774,3.66176,6.50804,3.65337,0.356894,0.061275,2.75851,2.68163,0.356849,0.0612494
100090,8.47176,6.92774,11.918,6.50804,3.29105,0.356894,1.96031,2.75851,-2.69959,0.356849,1.95982
100091,8.39216,11.8535,3.66176,6.31724,3.65337,1.24239,0.061275,-2.28644,2.68163,1.24228,0.0612494
100092,3.7762,11.8535,11.918,6.31724,3.29105,1.24239,1.96031,-2.28644,-2.69959,1.24228,1.95982
100093,7.64732,3.66176,11.918,3.65337,3.29105,0.061275,1.96031,2.68163,-2.69959,0.0612494,1.95982
100094,4.28073,26.249,15.0318,7.95167,5.20516,-1.86361,-1.72222,-2.22586,-1.5597,-1.86353,-1.72202
100095,40.9043,26.249,14.66,7.95167,2.91133,-1.86361,2.29963,-2.22586,-1.99471,-1.86353,2.29898
100096,33.5317,26.249,13.9571,7.95167,2.65519,-1.86361,2.34342,-2.22586,-1.11916,-1.86353,2.34264
100097,24.601,15.0318,14.66,5.20516,2.91133,-1.72222,2.29963,-1.5597,-1.99471,-1.72202,2.29898
100098,27.0358,15.0318,13.9571,5.20516,2.65519,-1.72222,2.34342,-1.5597,-1.11916,-1.72202,2.34264
100099,2.45186,14.66,13.9571,2.91133,2.65519,2.29963,2.34342,-1.99471,-1.11916,2.29898,2.34264
100100,50.3159,25.9043,25.4249,7.62358,4.88559,1.89391,-2.33322,-1.9257,-1.52918,1.89382,-2.33299
100101,34.0373,25.9043,12.2751,7.62358,4.05327,1.89391,-1.77271,-1.9257,-1.10416,1.89382,-1.77239
100102,5.80097,25.9043,16.8582,7.62358,2.89957,1.89391,2.44592,-1.9257,-3.10058,1.89382,2.44527
100103,3.21783,25.4249,12.2751,4.88559,4.05327,-2.33322,-1.77271,-1.52918,-1.10416,-2.33299,-1.77239
100104,41.2689,25.4249,16.8582,4.88559,2.89957,-2.33322,2.44592,-1.52918,-3.10058,-2.33299,2.44527
100105,28.0733,12.2751,16.8582,4.05327,2.89957,-1.77271,2.44592,-1.10416,-3.10058,-1.77239,2.44527
100106,9.38002,22.6035,4.78955,6.50202,4.08115,-1.91777,-0.58053,-1.47867,-2.57929,-1.91764,-0.580355
100107,13.2389,22.6035,8.91641,6.50202,3.59226,-1.91777,1.55888,-1.47867,0.0111401,-1.91764,1.55849
100108,9.20085,22.6035,18.7224,6.50202,3.16737,-1.91777,-2.46272,-1.47867,1.91664,-1.91764,-2.46217
100109,12.716,4.78955,8.91641,4.08115,3.59226,-0.58053,1.55888,-2.57929,0.0111401,-0.580355,1.55849
100110,9.2053,4.78955,18.7224,4.08115,3.16737,-0.58053,-2.46272,-2.57929,1.91664,-0.580355,-2.46217
100111,36.7258,8.91641,18.7224,3.59226,3.16737,1.55888,-2.46272,0.0111401,1.91664,1.55849,-2.46217
100112,9.04478,22.3116,18.4042,5.61856,5.10245,-2.05592,-1.95619,-0.981627,-3.03905,-2.05575,-1.95599
100113,4.21682,22.3116,10.5596,5.61856,3.14119,-2.05592,-1.88263,-0.981627,-2.02545,-2.05575,-1.8821
100114,31.6544,22.3116,13.3697,5.61856,2.59774,-2.05592,2.32189,-0.981627,-0.403837,-2.05575,2.32108
100115,3.90468,18.4042,10.5596,5.10245,3.14119,-1.95619,-1.88263,-3.03905,-2.02545,-1.95599,-1.8821
100116,28.5539,18.4042,13.3697,5.10245,2.59774,-1.95619,2.32189,-3.03905,-0.403837,-1.95599,2.32108
100117,24.4776,10.5596,13.3697,3.14119,2.59774,-1.88263,2.32189,-2.02545,-0.403837,-1.8821,2.32108
100118,5.18109,17.7995,20.8008,6.88646,3.9147,-1.60303,-2.35441,-0.795388,-0.207046,-1.60292,-2.35405
100119,9.31089,17.7995,5.97146,6.88646,3.07504,-1.60303,-1.28257,-0.795388,2.32681,-1.60292,-1.28206
100120,9.14576,17.7995,14.6495,6.88646,3.02963,-1.60303,-2.25822,-0.795388,1.65647,-1.60292,-2.25763
100121,7.85161,20.8008,5.97146,3.9147,3.07504,-2.35441,-1.28257,-0.207046,2.32681,-2.35405,-1.28206
100122,5.42582,20.8008,14.6495,3.9147,3.02963,-2.35441,-2.25822,-0.207046,1.65647,-2.35405,-2.25763
100123,3.71983,5.97146,14.6495,3.07504,3.02963,-1.28257,-2.25822,2.32681,1.65647,-1.28206,-2.25763
100124,9.46779,17.4679,11.8048,16.6637,6.82771,0.309381,1.14398,-2.92813,-2.69048,0.309375,1.14388
100125,5.10405,17.4679,8.29301,16.6637,6.68882,0.309381,0.679296,-2.92813,-2.6228,0.309375,0.679222
100126,29.2058,17.4679,27.9665,16.6637,4.70144,0.309381,2.46914,-2.92813,0.0830417,0.309375,2.46889
100127,3.23671,11.8048,8.29301,6.82771,6.68882,1.14398,0.679296,-2.69048,-2.6228,1.14388,0.679222
100128,13.8724,11.8048,27.9665,6.82771,4.70144,1.14398,2.46914,-2.69048,0.0830417,1.14388,2.46889
100129,16.139,8.29301,27.9665,6.68882,4.70144,0.679296,2.46914,-2.6228,0.0830417,0.679222,2.46889
100130,9.48106,17.9781,5.1928,16.8485,4.93243,0.364129,-0.32285,1.60467,2.38854,0.364122,-0.322778
100131,1.66988,17.9781,4.71543,16.8485,4.44911,0.364129,0.343543,1.60467,1.79432,0.364122,0.34345
100132,12.4851,17.9781,5.25576,16.8485,3.4858,0.364129,0.969066,1.60467,-2.97176,0.364122,0.968723
100133,4.21439,5.1928,4.71543,4.93243,4.44911,-0.32285,0.343543,2.38854,1.79432,-0.322778,0.34345
100134,6.86151,5.1928,5.25576,4.93243,3.4858,-0.32285,0.969066,2.38854,-2.97176,-0.322778,0.968723
100135,5.97227,4.71543,5.25576,4.44911,3.4858,0.343543,0.969066,1.79432,-2.97176,0.34345,0.968723
100136,4.28495,20.211,5.39447,20.0032,4.97107,-0.143923,-0.409357,-0.448072,-0.109899,-0.143921,-0.40927
100137,13.3622,20.211,5.15506,20.0032,4.37952,-0.143923,-0.586274,-0.448072,1.04056,-0.143921,-0.58612
100138,25.6003,20.211,14.4547,20.0032,3.04638,-0.143923,-2.23889,-0.448072,1.87026,-0.143921,-2.23831
100139,5.14994,5.39447,5.15506,4.97107,4.37952,-0.409357,-0.586274,-0.109899,1.04056,-0.40927,-0.58612
100140,10.8686,5.39447,14.4547,4.97107,3.04638,-0.409357,-2.23889,-0.109899,1.87026,-0.40927,-2.23831
100141,6.16043,5.15506,14.4547,4.37952,3.04638,-0.586274,-2.23889,1.04056,1.87026,-0.58612,-2.23831
100142,8.88876,10.5865,6.16398,7.15831,5.18031,0.943249,0.60663,2.48774,0.919102,0.943169,0.606517
100143,11.1008,10.5865,23.9899,7.15831,4.92343,0.943249,2.26606,2.48774,1.23826,0.943169,2.26584
100144,21.3064,10.5865,9.41923,7.15831,2.09681,0.943249,-2.18279,2.48774,1.64842,0.943169,-2.18155
100145,9.63128,6.16398,23.9899,5.18031,4.92343,0.60663,2.26606,0.919102,1.23826,0.606517,2.26584
100146,14.4612,6.16398,9.41923,5.18031,2.09681,0.60663,-2.18279,0.919102,1.64842,0.606517,-2.18155
100147,34.6372,23.9899,9.41923,4.92343,2.09681,2.26606,-2.18279,1.23826,1.64842,2.26584,-2.18155
100148,9.25318,63.7315,37.9279,47.9563,23.6628,0.790376,1.04924,1.75535,1.84344,0.790374,1.04923
100149,6.06237,63.7315,17.8295,47.9563,14.3344,0.790376,0.68482,1.75535,1.55006,0.790374,0.684804
100150,7.43613,63.7315,12.2004,47.9563,9.45343,0.790376,0.744934,1.75535,2.10272,0.790374,0.744895
100151,8.70094,37.9279,17.8295,23.6628,14.3344,1.04924,0.68482,1.84344,1.55006,1.04923,0.684804
100152,6.01767,37.9279,12.2004,23.6628,9.45343,1.04924,0.744934,1.84344,2.10272,1.04923,0.744895
100153,6.43987,17.8295,12.2004,14.3344,9.45343,0.68482,0.744934,1.55006,2.10272,0.684804,0.744895
100154,3.86683,14.7382,9.14805,9.62812,3.96388,0.9894,1.47875,-0.236556,-0.621596,0.989354,1.47843
100155,9.56929,14.7382,7.22625,9.62812,3.74758,0.9894,1.27438,-0.236556,-2.04312,0.989354,1.27404
100156,11.5045,14.7382,3.89625,9.62812,3.35757,0.9894,0.558424,-0.236556,-3.08876,0.989354,0.558174
100157,5.10316,9.14805,7.22625,3.96388,3.74758,1.47875,1.27438,-0.621596,-2.04312,1.47843,1.27404
100158,7.72191,9.14805,3.89625,3.96388,3.35757,1.47875,0.558424,-0.621596,-3.08876,1.47843,0.558174
100159,4.39501,7.22625,3.89625,3.74758,3.35757,1.27438,0.558424,-2.04312,-3.08876,1.27404,0.558174
100160,1.02071,21.0337,14.7871,3.60652,2.89066,-2.44909,-2.3157,1.66846,2.04735,-2.44866,-2.31504
100161,4.44254,21.0337,5.38474,3.60652,2.7798,-2.44909,-1.27963,1.66846,2.36773,-2.44866,-1.27901
100162,11.9782,21.0337,2.70167,3.60652,2.68429,-2.44909,0.106739,1.66846,-1.51432,-2.44866,0.106656
100163,2.86988,14.7871,5.38474,2.89066,2.7798,-2.3157,-1.27963,2.04735,2.36773,-2.31504,-1.27901
100164,11.3564,14.7871,2.70167,2.89066,2.68429,-2.3157,0.106739,2.04735,-1.51432,-2.31504,0.106656
100165,6.53942,5.38474,2.70167,2.7798,2.68429,-1.27963,0.106739,2.36773,-1.51432,-1.27901,0.106656
100166,12.5639,46.9867,3.94598,11.6944,3.32253,2.06804,0.602748,-1.86155,3.09509,2.068,0.602476
100167,9.37074,46.9867,3.71229,11.6944,2.78387,2.06804,0.794944,-1.86155,-2.81628,2.068,0.794468
100168,32.6883,46.9867,6.17093,11.6944,2.7788,2.06804,-1.43576,-1.86155,3.01378,2.068,-1.43512
100169,1.28531,3.94598,3.71229,3.32253,2.78387,0.602748,0.794944,3.09509,-2.81628,0.602476,0.794468
100170,7.33882,3.94598,6.17093,3.32253,2.7788,0.602748,-1.43576,3.09509,3.01378,0.602476,-1.43512
100171,7.68224,3.71229,6.17093,2.78387,2.7788,0.794944,-1.43576,-2.81628,3.01378,0.794468,-1.43512
100172,13.6109,130.101,14.8098,40.8045,4.00379,-1.82712,-1.98237,-1.72431,-2.79887,-1.82711,-1.98204
100173,10.3346,130.101,22.6218,40.8045,3.80353,-1.82712,-2.46898,-1.72431,-1.24863,-1.82711,-2.4686
100174,3.87727,130.101,8.37795,40.8045,2.97129,-1.82712,-1.69663,-1.72431,-1.40767,-1.82711,-1.69604
100175,5.9108,14.8098,22.6218,4.00379,3.80353,-1.98237,-2.46898,-2.79887,-1.24863,-1.98204,-2.4686
100176,4.59908,14.8098,8.37795,4.00379,2.97129,-1.98237,-1.69663,-2.79887,-1.40767,-1.98204,-1.69604
100177,2.76964,22.6218,8.37795,3.80353,2.97129,-2.46898,-1.69663,-1.24863,-1.40767,-2.4686,-1.69604
100178,7.68525,20.3891,23.8723,12.2427,11.1041,1.09765,1.39944,-0.67134,-0.0799735,1.09762,1.3994
